date,BANC Demand (MWh),CISO Demand (MWh),IID Demand (MWh),LDWP Demand (MWh),TIDC Demand (MWh),Total CAL Demand (MWh)
2024-04-20 12:00:00,1988.0,24818.0,483.0,2424.0,334.0,30047
2024-04-20 01:00:00,1873.0,24573.0,437.0,2351.0,318.0,29552
2024-04-20 02:00:00,1736.0,23950.0,393.0,2228.0,296.0,28603
2024-04-20 03:00:00,1605.0,22971.0,353.0,2106.0,274.0,27309
2024-04-20 04:00:00,1512.0,21588.0,318.0,2257.0,257.0,25932
2024-04-20 05:00:00,1430.0,20935.0,293.0,2140.0,246.0,25044
2024-04-20 06:00:00,1372.0,20022.0,286.0,2062.0,236.0,23978
2024-04-20 07:00:00,1339.0,19363.0,269.0,2013.0,231.0,23215
2024-04-20 08:00:00,1335.0,19077.0,274.0,1999.0,234.0,22919
2024-04-20 09:00:00,1357.0,18836.0,267.0,1857.0,237.0,22554
2024-04-20 10:00:00,1388.0,19174.0,274.0,1832.0,241.0,22909
2024-04-20 11:00:00,1440.0,19794.0,272.0,2130.0,241.0,23877
2024-04-21 00:00:00,1495.0,20212.0,300.0,2248.0,240.0,24495
2024-04-20 13:00:00,1499.0,20972.0,311.0,2349.0,237.0,25368
2024-04-20 14:00:00,1508.0,20782.0,345.0,2366.0,233.0,25234
2024-04-20 15:00:00,1510.0,19861.0,380.0,2232.0,232.0,24215
2024-04-20 16:00:00,1534.0,18686.0,419.0,2056.0,239.0,22934
2024-04-20 17:00:00,1561.0,17366.0,455.0,2026.0,248.0,21656
2024-04-20 18:00:00,1633.0,17020.0,495.0,2072.0,260.0,21480
2024-04-20 19:00:00,1721.0,16720.0,526.0,2137.0,273.0,21377
2024-04-20 20:00:00,1835.0,17196.0,554.0,2260.0,288.0,22133
2024-04-20 21:00:00,1919.0,18037.0,559.0,2316.0,303.0,23134
2024-04-20 22:00:00,1958.0,19410.0,534.0,2195.0,312.0,24409
2024-04-20 23:00:00,1939.0,21687.0,510.0,2302.0,310.0,26748
2024-04-21 12:00:00,1915.0,23426.0,472.0,2333.0,304.0,28450
2024-04-21 01:00:00,1817.0,23774.0,438.0,2284.0,291.0,28604
2024-04-21 02:00:00,1701.0,23417.0,398.0,2326.0,274.0,28116
2024-04-21 03:00:00,1578.0,22292.0,359.0,2321.0,257.0,26807
2024-04-21 04:00:00,1504.0,21260.0,330.0,2117.0,244.0,25455
2024-04-21 05:00:00,1418.0,20468.0,310.0,2055.0,232.0,24483
2024-04-21 06:00:00,1359.0,19509.0,282.0,2060.0,223.0,23433
2024-04-21 07:00:00,1329.0,18931.0,273.0,2024.0,220.0,22777
2024-04-21 08:00:00,1314.0,18462.0,266.0,1997.0,220.0,22259
2024-04-21 09:00:00,1330.0,18294.0,268.0,1949.0,220.0,22061
2024-04-21 10:00:00,1356.0,18503.0,257.0,1737.0,221.0,22074
2024-04-21 11:00:00,1375.0,18611.0,278.0,1938.0,220.0,22422
2024-04-22 00:00:00,1425.0,18848.0,297.0,2141.0,218.0,22929
2024-04-21 13:00:00,1451.0,18983.0,323.0,2390.0,218.0,23365
2024-04-21 14:00:00,1477.0,19260.0,366.0,2383.0,218.0,23704
2024-04-21 15:00:00,1505.0,18787.0,401.0,2415.0,221.0,23329
2024-04-21 16:00:00,1548.0,18005.0,448.0,2442.0,230.0,22673
2024-04-21 17:00:00,1619.0,17563.0,496.0,2504.0,244.0,22426
2024-04-21 18:00:00,1706.0,17216.0,539.0,2593.0,260.0,22314
2024-04-21 19:00:00,1832.0,16711.0,572.0,2677.0,280.0,22072
2024-04-21 20:00:00,1975.0,17565.0,590.0,2418.0,300.0,22848
2024-04-21 21:00:00,2120.0,19312.0,596.0,2581.0,322.0,24931
2024-04-21 22:00:00,2202.0,21723.0,572.0,2408.0,336.0,27241
2024-04-21 23:00:00,2182.0,23576.0,528.0,2463.0,340.0,29089
2024-04-22 12:00:00,2169.0,24882.0,499.0,2452.0,343.0,30345
2024-04-22 01:00:00,2041.0,25080.0,458.0,2342.0,326.0,30247
2024-04-22 02:00:00,1851.0,24381.0,410.0,2383.0,301.0,29326
2024-04-22 03:00:00,1680.0,23056.0,364.0,2224.0,278.0,27602
2024-04-22 04:00:00,1559.0,21602.0,337.0,2170.0,260.0,25928
2024-04-22 05:00:00,1457.0,20613.0,316.0,2061.0,250.0,24697
2024-04-22 06:00:00,1399.0,19816.0,295.0,2009.0,243.0,23762
2024-04-22 07:00:00,1363.0,19226.0,290.0,1982.0,239.0,23100
2024-04-22 08:00:00,1398.0,19059.0,282.0,1911.0,245.0,22895
2024-04-22 09:00:00,1458.0,19347.0,299.0,1838.0,260.0,23202
2024-04-22 10:00:00,1565.0,20464.0,308.0,1983.0,277.0,24597
2024-04-22 11:00:00,1659.0,21766.0,342.0,2374.0,295.0,26436
2024-04-23 00:00:00,1694.0,22972.0,372.0,2789.0,300.0,28127
2024-04-22 13:00:00,1721.0,23351.0,404.0,2878.0,304.0,28658
2024-04-22 14:00:00,1771.0,23074.0,432.0,2885.0,308.0,28470
2024-04-22 15:00:00,1828.0,23855.0,473.0,2867.0,319.0,29342
2024-04-22 16:00:00,1893.0,23732.0,512.0,2775.0,333.0,29245
2024-04-22 17:00:00,1991.0,23256.0,562.0,2757.0,347.0,28913
2024-04-22 18:00:00,2092.0,23541.0,586.0,2781.0,366.0,29366
2024-04-22 19:00:00,2206.0,23410.0,631.0,2847.0,380.0,29474
2024-04-22 20:00:00,2333.0,22991.0,639.0,2704.0,394.0,29061
2024-04-22 21:00:00,2395.0,23615.0,645.0,2492.0,407.0,29554
2024-04-22 22:00:00,2362.0,24540.0,616.0,2476.0,413.0,30407
2024-04-22 23:00:00,2262.0,25718.0,578.0,2499.0,401.0,31458
2024-04-23 12:00:00,2165.0,26524.0,546.0,2488.0,389.0,32112
2024-04-23 01:00:00,1996.0,26625.0,496.0,2383.0,363.0,31863
2024-04-23 02:00:00,1788.0,25706.0,437.0,2241.0,330.0,30502
2024-04-23 03:00:00,1607.0,23858.0,383.0,2092.0,302.0,28242
2024-04-23 04:00:00,1517.0,22215.0,347.0,2223.0,282.0,26584
2024-04-23 05:00:00,1427.0,21465.0,322.0,2134.0,268.0,25616
2024-04-23 06:00:00,1373.0,20523.0,300.0,2039.0,258.0,24493
2024-04-23 07:00:00,1354.0,19952.0,285.0,2004.0,257.0,23852
2024-04-23 08:00:00,1377.0,19686.0,285.0,1929.0,259.0,23536
2024-04-23 09:00:00,1452.0,19766.0,300.0,1844.0,274.0,23636
2024-04-23 10:00:00,1556.0,20830.0,319.0,1980.0,292.0,24977
2024-04-23 11:00:00,1655.0,22262.0,325.0,2350.0,306.0,26898
2024-04-24 00:00:00,1682.0,23516.0,362.0,2699.0,302.0,28561
